序号,时间,敌人,距离(m),扣血,结果,算法,区间(m),水平,上预判,下预判,弹速,实测弹速,命中耗时(s),枪灵,抑制%,预测坐标,抑制坐标,实际坐标,偏差(3D/水平/垂直),水平沿向偏差,垂直方向
113,13:57:48,StekIo,93.8,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,409.6,0.229,否,100%,"(548.5,248.5,421.0)","(548.5,248.5,421.0)","(547.6,248.5,420.4)",1.1/1.1/0.0,-1.1,平
114,13:57:49,StekIo,94.2,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(556.9,248.5,430.3)","(556.9,248.5,430.3)","(564.7,248.5,442.4)",14.5/14.5/0.0,14.3,平
115,13:57:50,StekIo,94.9,-20,命中,GM自研,90-100,5.8,6.0,6.2,435,368.0,0.258,否,100%,"(569.4,248.5,451.4)","(569.4,248.5,451.4)","(568.0,248.5,451.3)",1.5/1.5/0.0,-0.7,平
116,13:57:50,StekIo,94.2,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,395.2,0.238,否,100%,"(572.4,248.5,462.5)","(572.4,248.5,462.5)","(571.8,248.5,461.6)",1.1/1.1/0.0,-1.1,平
117,13:57:51,StekIo,94.5,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(574.9,248.5,474.9)","(574.9,248.5,474.9)","(573.8,248.5,489.2)",14.3/14.3/0.0,13.7,平
118,13:57:52,StekIo,93.1,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(573.3,248.5,500.1)","(573.3,248.5,500.1)","(54.6,-209.8,-107.0)",920.7/798.5/-458.3,-575.2,平
119,13:58:21,StekIo,99.2,-20,命中,GM自研,90-100,5.8,6.0,6.2,435,124.7,0.796,否,100%,"(394.0,248.5,547.8)","(394.0,248.5,547.8)","(400.5,248.5,556.3)",10.7/10.7/0.0,10.6,平
120,13:58:22,StekIo,99.8,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,416.3,0.240,否,100%,"(408.1,248.5,564.7)","(408.1,248.5,564.7)","(407.7,248.5,564.1)",0.8/0.8/0.0,-0.8,平
121,13:58:24,StekIo,109.9,-20,命中,GM自研,100-110,5.8,5.8,6.0,430,353.7,0.311,否,100%,"(416.7,248.5,571.7)","(416.7,248.5,571.7)","(416.7,248.5,571.7)",0.0/0.0/0.0,-0.0,平
122,13:58:25,StekIo,109.9,-30,命中,GM自研,100-110,5.8,5.8,6.0,430,443.0,0.248,否,100%,"(420.8,248.5,574.6)","(420.8,248.5,574.6)","(420.5,248.5,574.3)",0.5/0.5/0.0,-0.5,平
123,13:58:25,StekIo,109.9,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(426.3,248.5,578.1)","(426.3,248.5,578.1)","(435.4,248.5,582.9)",10.3/10.3/0.0,10.3,平
124,13:58:27,StekIo,105.9,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(446.6,248.5,587.5)","(446.6,248.5,587.5)","(54.9,-260.8,-95.7)",937.8/787.5/-509.3,-616.4,平
125,13:58:41,StekIo,95.3,-10,命中,GM自研,90-100,5.8,6.0,6.2,435,382.8,0.249,否,100%,"(440.8,248.5,657.7)","(440.8,248.5,657.7)","(441.9,248.5,657.8)",1.1/1.1/0.0,-1.1,平
126,13:58:42,StekIo,95.6,-20,命中,GM自研,90-100,5.8,6.0,6.2,435,384.8,0.249,否,100%,"(430.2,248.5,652.0)","(430.2,248.5,652.0)","(431.2,248.5,652.3)",1.0/1.0/0.0,-1.0,平
127,13:58:42,StekIo,96.0,-20,命中,GM自研,90-100,5.8,6.0,6.2,435,490.3,0.196,否,100%,"(419.6,248.5,644.4)","(419.6,248.5,644.4)","(421.7,248.5,645.7)",2.5/2.5/0.0,-2.5,平
128,13:58:44,StekIo,108.7,-10,命中,GM自研,100-110,5.8,5.8,6.0,430,128.8,0.844,否,100%,"(401.8,248.5,624.5)","(401.8,248.5,624.5)","(396.2,248.5,615.3)",10.7/10.7/0.0,10.7,平
129,13:58:45,StekIo,109.3,-10,命中,GM自研,100-110,5.8,5.8,6.0,430,371.4,0.294,否,100%,"(390.3,248.5,603.9)","(390.3,248.5,603.9)","(391.0,248.5,604.6)",0.9/0.9/0.0,-0.9,平
130,13:58:45,StekIo,109.6,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(386.4,248.5,592.2)","(386.4,248.5,592.2)","(53.5,-179.0,-107.3)",884.8/774.6/-427.6,770.2,平
131,13:59:03,StekIo,100.4,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(453.5,248.5,463.3)","(453.5,248.5,463.3)","(440.5,248.5,467.4)",13.6/13.6/0.0,13.4,平
132,13:59:04,StekIo,100.9,-30,命中,GM自研,100-110,5.8,5.8,6.0,430,420.1,0.240,否,100%,"(432.2,248.5,470.5)","(432.2,248.5,470.5)","(433.1,248.5,470.4)",0.9/0.9/0.0,-0.9,平
133,13:59:05,StekIo,101.2,-10,命中,GM自研,100-110,5.8,5.8,6.0,430,401.8,0.252,否,100%,"(420.7,248.5,476.6)","(420.7,248.5,476.6)","(421.8,248.5,476.3)",1.1/1.1/0.0,-1.1,平
134,13:59:06,StekIo,101.6,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(411.1,248.5,483.5)","(411.1,248.5,483.5)","(405.1,248.5,489.2)",8.3/8.3/0.0,8.2,平
135,13:59:07,StekIo,103.0,-30,命中,GM自研,100-110,5.8,5.8,6.0,430,378.6,0.272,否,100%,"(402.4,248.5,491.9)","(402.4,248.5,491.9)","(402.4,248.5,491.9)",0.0/0.0/-0.0,-0.0,平
136,13:59:08,StekIo,103.0,-10,命中,GM自研,100-110,5.8,5.8,6.0,430,378.7,0.272,否,100%,"(399.2,248.5,495.4)","(399.2,248.5,495.4)","(399.1,248.5,495.6)",0.2/0.2/-0.0,0.2,平
137,13:59:09,StekIo,105.5,脱靶,脱靶,GM自研,100-110,5.8,5.8,6.0,430,0.0,0.000,否,100%,"(389.7,248.5,507.7)","(389.7,248.5,507.7)","(54.7,-247.9,-86.3)",843.5/682.0/-496.4,-283.1,平
138,13:59:24,StekIo,101.0,-10,命中,GM自研,100-110,5.8,5.8,6.0,430,405.8,0.249,否,100%,"(569.1,248.5,570.6)","(569.1,248.5,570.6)","(568.9,248.5,568.6)",2.1/2.1/0.0,-1.8,平
139,13:59:25,StekIo,97.8,脱靶,脱靶,GM自研,90-100,5.8,6.0,6.2,435,0.0,0.000,否,100%,"(560.8,248.5,577.7)","(560.8,248.5,577.7)","(552.7,248.5,587.9)",13.1/13.1/0.0,12.9,平
